first_allele,second_allele,"O(i,j)","E(i,j)","Rho(i,j)","E(i,j)*Rho(i,j)","var_observed(i,j)"
5,16,354.70000000000135,350.9296128000586,0.8170566676064172,286.7293799988261,287.2937582000002
5,11,237.89999999999793,251.41939200000522,0.8081126523749504,203.1751917276216,191.1180717999028
5,10,136.0999999999992,142.06625279996584,0.8209404849375548,116.6279384668652,111.35953579992476
5,13,93.19999999999985,95.90284799997964,0.8051502145922762,77.21619864719406,74.86627519995118
5,3,185.59999999999866,195.41306879997936,0.7941810344827658,155.19335313101948,146.71105279996797
5,18,170.69999999999908,159.75060479995994,0.8231400117164667,131.49711470675166,139.92723019994736
5,15,80.8,79.4092031999844,0.824009900990098,65.43396966652172,66.44942719994015
5,14,76.19999999999997,80.72916479998342,0.8207349081364819,66.2572436560493,62.423871200056716
5,19,91.79999999999983,89.96497919998059,0.826143790849674,74.32400895998404,75.67145520005948
5,9,86.19999999999999,81.80236799998366,0.8099767981438512,66.2580201132118,69.67139119996502
5,8,153.99999999999903,153.36622079996164,0.819740259740269,125.72046567394399,125.76568000012938
4,4,58.300000000000104,50.349164449989004,0.840994854202399,42.34338821583111,48.96202220002147
4,16,277.6999999999989,284.31498680005205,0.8264674108750423,234.97707101361084,227.9676541998044
4,11,218.29999999999856,203.69412700000754,0.826889601465875,168.43255549597555,179.55690220010837
4,10,111.49999999999966,115.09876429997419,0.8266367713004525,95.14487090160246,91.92135500004221
4,13,91.59999999999987,77.69825049998477,0.8471615720524037,65.82297203928856,77.43218879996087
4,3,146.29999999999933,158.31911029998585,0.814422419685584,128.93863289298335,118.72192619990874
4,18,131.69999999999942,129.42621379996964,0.8313591495823907,107.59966703841144,109.14310220006827
4,15,65.00000000000011,64.33548419998841,0.8338461538461512,53.64589605599017,54.11549999996989
4,14,66.90000000000006,65.40488629998764,0.8270553064275018,54.09345828069219,55.24048779997304
4,19,57.80000000000016,72.88752769998545,0.7553633217993057,55.05656504119992,43.59318319994466
4,9,64.4000000000001,66.27437049998784,0.813043478260867,53.88394471085951,52.27705280003714
4,8,119.29999999999956,124.25373479997093,0.8096395641240627,100.60073968423534,96.3053501999504
16,16,431.0000000000054,401.37216080023455,0.8361020881670352,335.5881017771912,356.64478000005045
16,11,543.40000000001,575.116724000252,0.8211262421788482,472.24343439253676,440.2943287996959
16,10,322.6000000000004,324.97365160005756,0.8318660880347098,270.3345602708946,266.27858479980284
16,13,224.39999999999839,219.37580600004503,0.8147950089126602,178.7463118050287,181.8328927998767
16,3,432.300000000005,447.0034036001394,0.8263011797362754,369.3594397409256,353.4723342003829
16,18,369.000000000002,365.42624560006095,0.8307317073170618,303.57116890580255,303.8167799999995
16,15,185.0999999999988,181.6469304000402,0.8202593192868787,148.997587480488,151.14475980003192
16,14,181.29999999999868,184.6663156000392,0.8011583011583069,147.94695168729115,144.59260619996897
16,19,215.09999999999837,205.79305240004152,0.8159460715946117,167.91603266727796,174.5846398001089
16,9,180.39999999999884,187.12124600004074,0.8190687361419133,153.26516246655342,147.10911680010653
16,8,339.7000000000015,350.8220976000587,0.8243450103032004,289.1984456607108,277.72207820004024
11,11,216.79999999999845,206.0178050000602,0.8310885608856137,171.21904107431303,179.23995519986724
11,10,239.19999999999823,232.82354900000723,0.8234113712374621,191.70955773846842,195.8156672001387
11,13,145.2999999999993,157.1692150000093,0.8313145216792922,130.65705079044258,120.36775819994045
11,3,301.29999999999984,320.2503290000531,0.8184201792233597,262.0993316565634,244.77436620008524
11,18,263.69999999999845,261.8053340000054,0.8210466439135382,214.9543908393674,215.1192462001393
11,15,126.69999999999949,130.13880600000977,0.8183898973954278,106.50428408951147,103.36894220006504
11,14,125.4999999999994,132.30200900000875,0.8179282868525964,108.21355556853395,102.33499499992074
11,19,160.19999999999922,147.4380110000082,0.8198501872659244,120.87708092847215,130.82671919994502
11,9,150.09999999999928,134.0608150000096,0.8264490339773561,110.79443105097499,123.59939979999635
